velocity,spin_rate,구종
95.69289642,2347.535622,직구
79.30291476,2511.400809,슬라이더
75.06494947,2467.935772,커브
96.47693316,2120.747926,직구
79.20748924,2648.806352,슬라이더
82.04861925,2300.694149,커브
86.22703595,2644.581868,직구
84.03362708,2379.448815,슬라이더
97.11424445,2134.667077,직구
81.16108137,2474.147321,커브
88.14797353,2745.867521,슬라이더
80.90493507,2884.473972,커브
98.7723718,2327.76649,슬라이더
95.34636185,2317.944012,커브
91.55016433,2168.473076,직구
93.35863536,2240.171172,직구
77.39254794,2597.58221,커브
84.87172331,2318.545789,슬라이더
86.04567098,2321.860237,슬라이더
100.4403383,2119.170171,직구
76.01130125,2476.549363,커브
96.22335258,2303.246526,직구
94.50922377,2209.76761,직구
82.61999797,1950.341983,체인지업
74.71362238,2521.597472,커브
80.07822357,2433.911119,커브
82.46804891,1807.959786,체인지업
76.4617153,2776.466612,커브
80.88890644,1711.893166,슬라이더
77.67441419,2959.042271,커브
87.2975314,2580.813399,슬라이더
80.99719571,1703.546221,체인지업
82.71399017,2572.975247,슬라이더
88.18901013,2294.968195,슬라이더
96.83080424,2184.82149,직구
85.25115291,2678.596941,커브
82.97207258,1722.734055,체인지업
80.58474821,1771.561535,커브
80.77566617,1709.593171,체인지업
89.80683117,2340.232951,슬라이더
77.36030495,2632.003645,커브
79.09423823,2733.748331,커브
83.95684422,2016.505607,체인지업
93.56031158,2166.549876,직구
96.93728998,2150.699907,직구
75.63837437,2381.659825,커브
86.2703436,2400.564862,슬라이더
86.83265535,2540.108847,슬라이더
74.78488027,2349.918453,커브
78.08183835,2646.014152,직구
80.25086957,2650.040041,커브
92.15050363,2038.728413,직구
95.72279121,2344.127329,직구
83.78590774,1886.163612,체인지업
97.93129754,2431.465857,직구
91.02486217,2161.46864,직구
83.3060773,2466.28519,슬라이더
88.26686306,2509.671162,커브
84.0767577,1978.179891,커브
81.17701371,1883.475133,체인지업
97.31719116,2189.123985,직구
92.0729701,2130.70904,슬라이더
81.77866926,1867.893129,커브
77.54280017,2767.7881,커브
81.46471782,1979.636082,슬라이더
93.30641256,2295.042384,직구
85.79160707,2625.029344,직구
87.78400457,2426.813289,슬라이더
78.52512266,2079.157229,커브
78.1017754,2684.194589,커브
78.23369958,1948.911311,체인지업
76.85279645,2715.041003,체인지업
93.91123455,2152.806813,직구
93.05063666,2251.934651,직구
79.20576363,1952.323862,체인지업
76.3356888,1747.555186,커브
78.09779627,1737.226609,체인지업
81.88682302,1766.987991,슬라이더
83.51942459,1551.219134,슬라이더
84.39449385,1614.209855,체인지업
95.94766584,2171.134136,직구
83.04428509,1919.054859,체인지업
84.88476241,2454.216294,직구
83.4793063,1847.516775,체인지업
77.94885138,2518.592737,커브
81.0668674,2448.300933,커브
91.47391969,2240.498171,직구
93.38301279,2413.303337,직구
93.49252767,2122.699022,직구
81.08181938,1620.61075,체인지업
92.53827137,2143.627545,직구
82.80744983,2116.91183,슬라이더
85.0311581,2277.265305,직구
81.81322628,1709.538563,커브
92.04295602,2079.970359,직구
84.6547454,2402.608368,슬라이더
75.85628553,2880.319719,커브
82.63490652,1776.188956,체인지업
79.2024135,2464.48707,커브
77.36456981,2628.677693,커브
95.42818749,2067.976679,슬라이더
96.57416921,2353.273891,직구
80.74569695,2590.26953,슬라이더
95.96494483,2147.424498,직구
79.74877836,2515.847641,커브
84.0645976,2389.670509,슬라이더
77.47421834,2934.898487,커브
78.31038137,2784.330022,커브
91.17343951,2265.139125,직구
79.20637486,2777.531085,체인지업
81.28534591,3221.983711,커브
85.64271443,2729.612625,슬라이더
93.32156495,2326.691115,직구
95.64816794,2073.911605,직구
85.79844625,2486.757693,슬라이더
97.95578809,2358.601682,직구
93.86740454,2279.166269,직구
82.41063705,2483.316091,슬라이더
80.98038661,1877.9349,체인지업
82.95441487,2831.57845,슬라이더
74.46184819,2737.263691,커브
95.13505641,2268.626019,직구
82.22085507,2517.937055,슬라이더
82.11796844,1671.954443,체인지업
84.66114981,1743.605251,커브
81.82153169,1891.377162,체인지업
77.61992193,2407.248215,커브
97.71248006,2075.221682,직구
84.30269573,2520.031136,슬라이더
76.36148428,2672.726377,체인지업
76.68376702,2309.764862,커브
83.16708861,1705.449312,체인지업
78.39463141,2606.830483,커브
81.09768228,1726.469654,체인지업
84.30148459,2477.129525,슬라이더
96.29537708,2308.305124,직구
84.94889186,2750.885858,슬라이더
94.21578369,2235.701549,직구
81.22015259,1747.412032,체인지업
78.5307247,2736.043221,커브
75.48484428,2258.528408,커브
87.06056691,2224.569194,슬라이더
