year,month,전국,수도권,서울,강북지역,강남지역,경기,인천,부산,대구,광주,대전,울산,강원,충북,충남,전북,전남,경북,경남,제주
2003,11,89.76719004,87.68849017,89.04553248,90.64429012,87.80902057,85.12664254,91.48738872,98.68348875,94.93230174,93.53094705,85.14458514,98.23598589,97.73809524,90.49892969,78.90955199,93.5546189,84.62969226,92.58164622,93.09018159,100.1119821
2003,12,89.38101289,87.17357911,88.73104243,89.89351404,87.84583095,84.54475899,90.75630252,98.48847926,94.21762063,93.62460154,85.75798127,97.59083728,96.94724363,89.89431968,77.84363534,93.76865017,84.84848485,92.4545051,92.81631392,100.2056075
2004,1,89.30131004,87.09055877,88.62148633,89.64915681,87.86891529,84.4824275,90.54661176,98.30007391,94.01726167,93.76291565,85.9074462,97.84414557,96.88744653,89.60289998,77.26120034,93.87611862,84.9517031,92.46432818,93.10611929,99.60820896
2004,2,89.44504897,87.15191089,88.57416268,89.89567233,87.56653992,84.56375839,90.82414502,98.33641405,93.91031917,93.85537655,86.32075472,98.67902208,97.34151329,90.10160603,77.875,93.96055158,85.43293718,92.89212049,92.85493827,100.8031378
2004,3,89.57731214,87.29186603,88.51865956,89.96339819,87.42921857,84.91107286,90.74281448,98.50525927,93.8242743,94.42678137,86.30393996,98.78693015,97.41142444,90.32941944,78.21428571,94.11968177,86.05482718,92.80745893,92.83192632,100.897364
2004,4,89.40647482,87.04021346,88.04388952,89.74506421,86.70162952,84.83692542,90.59590317,98.58273514,93.85692068,94.51492537,85.92702904,98.31428018,97.24346948,90.65693431,77.56628144,94.04269972,86.44875724,92.96356395,92.48969623,100.7082945
2004,5,89.2202659,86.84712162,87.65338871,89.63076334,86.13084112,84.79174627,90.31476998,98.47314202,93.7414966,94.55122224,85.146328,97.31697969,97.2018941,90.72847682,77.42857143,94.26215427,87.13579826,93.0785124,92.07484028,100.7086908
2004,6,88.70706707,86.35060218,86.98448733,88.90164562,85.48387097,84.38519087,90.02424016,97.90016578,92.84603421,94.44444444,84.44363104,96.46203863,97.0268725,90.01122334,76.30752424,94.46254072,86.59618008,93.20531758,91.51100987,100.5412467
2004,7,88.22258239,85.82933845,86.64390059,88.59279141,85.12801205,83.79576108,89.21988457,97.53794891,91.89819312,94.4011865,83.88097846,95.36171025,96.69844884,89.35560859,74.8427673,94.35414885,86.70648464,93.84615385,91.05087826,100.9754267
2004,8,87.67841012,85.20732883,86.25954198,88.22397537,84.72775564,82.94573643,88.77455566,97.34447539,91.67477145,94.31481481,82.91704649,95.20626432,96.29838938,88.79051383,73.41719657,94.30272109,86.03228547,93.24464154,90.54831869,100.7315701
