sample,gender,age,store,satisfaction,recommend
5,1,2,2,7,10
15,1,2,2,4,5
19,1,2,2,5,8
27,1,2,2,5,7
37,1,2,3,4,5
45,1,2,2,6,9
62,1,2,2,5,8
70,1,2,2,6,9
77,1,2,2,7,10
78,1,2,2,5,8
84,1,2,2,5,6
93,1,2,2,6,9
95,1,2,2,6,8
102,1,2,2,4,7
107,1,2,2,4,5
111,1,2,2,6,8
112,1,2,2,5,8
114,1,2,2,5,8
115,1,2,2,5,8
119,1,2,2,6,9
86,1,3,1,5,8
87,1,3,1,3,5
91,1,3,1,4,5
108,1,3,1,5,8
110,1,3,1,6,8
143,1,3,1,3,5
146,1,3,1,5,7
149,1,3,2,4,5
155,1,3,2,5,8
156,1,3,1,5,8
6,1,3,1,6,9
7,1,3,2,7,10
8,1,3,2,2,3
28,1,3,2,3,6
46,1,3,1,6,9
53,1,3,2,6,8
60,1,3,2,6,9
81,1,3,2,3,6
96,1,3,2,5,7
98,1,3,1,7,9
101,1,4,1,5,8
109,1,4,1,4,7
116,1,4,2,5,8
117,1,4,2,5,8
121,1,4,3,6,9
123,1,4,1,5,8
125,1,4,1,4,7
130,1,4,3,6,9
151,1,4,2,5,8
11,1,4,1,5,8
21,1,4,2,5,8
32,1,4,2,6,9
33,1,4,2,4,7
34,1,4,1,5,8
38,1,4,1,4,7
41,1,4,2,3,6
54,1,4,3,4,7
58,1,4,2,4,7
74,1,4,2,6,9
89,1,4,3,4,6
124,1,5,2,7,10
136,1,5,2,6,9
142,1,5,3,6,9
147,1,5,1,4,6
150,1,5,1,5,7
157,1,5,1,5,8
1,1,5,3,4,7
13,1,5,2,7,10
16,1,5,3,4,7
17,1,5,3,3,6
18,1,5,2,3,5
20,1,5,2,5,8
24,1,5,2,5,8
43,1,5,2,6,9
47,1,5,3,4,5
67,1,5,3,1,3
76,1,5,1,6,9
92,1,5,1,3,4
122,1,5,2,4,7
131,1,5,3,3,6
126,2,2,2,5,7
128,2,2,3,4,7
132,2,2,2,5,6
133,2,2,2,4,7
138,2,2,2,5,8
144,2,2,2,4,5
152,2,2,2,5,8
159,2,2,2,6,9
160,2,2,2,5,8
14,2,2,2,6,8
22,2,2,2,5,7
42,2,2,2,4,7
50,2,2,2,5,8
52,2,2,2,5,7
55,2,2,2,5,8
59,2,2,2,3,5
63,2,2,2,4,5
65,2,2,2,4,6
68,2,2,2,5,8
69,2,2,2,5,7
99,2,3,3,4,7
104,2,3,2,5,8
106,2,3,2,7,10
134,2,3,2,7,9
137,2,3,1,7,9
148,2,3,2,6,9
153,2,3,2,7,10
4,2,3,1,4,6
9,2,3,2,6,9
10,2,3,2,4,7
12,2,3,3,7,10
26,2,3,1,6,9
35,2,3,2,7,9
39,2,3,1,4,7
57,2,3,1,6,9
64,2,3,2,6,9
79,2,3,1,5,8
80,2,3,3,3,6
97,2,3,3,4,7
100,2,3,1,7,6
113,2,4,3,5,8
118,2,4,2,6,9
127,2,4,3,5,8
139,2,4,3,5,8
145,2,4,2,6,9
154,2,4,3,7,10
25,2,4,2,6,9
29,2,4,1,5,7
40,2,4,3,6,9
49,2,4,1,4,7
51,2,4,3,5,8
61,2,4,1,5,8
66,2,4,2,6,9
71,2,4,2,6,9
72,2,4,1,5,8
73,2,4,2,7,10
82,2,4,3,6,9
83,2,4,3,6,9
90,2,4,2,6,9
105,2,4,1,4,7
135,2,5,3,5,8
140,2,5,2,4,5
141,2,5,3,2,4
158,2,5,1,5,8
2,2,5,3,4,6
3,2,5,1,5,8
23,2,5,1,6,9
30,2,5,3,6,9
31,2,5,1,6,9
36,2,5,1,6,9
44,2,5,3,5,8
48,2,5,3,4,5
56,2,5,2,5,8
75,2,5,3,7,9
85,2,5,3,5,6
88,2,5,3,5,8
94,2,5,3,5,8
103,2,5,3,7,10
120,2,5,3,6,9
129,2,5,3,5,8
