sales,lon,lat,brand
2914,126.1103003 ,36.92668584,Starbucks
3048,127.9449940 ,37.40469198,Starbucks
3819,126.0226966 ,38.9819142,CoffeeBean
2194,125.7072046 ,36.85873371,Starbucks
1081,126.8899496 ,38.95139163,CoffeeBean
2008,126.8073104 ,38.0940531,Starbucks
1887,128.0051016 ,37.74236932,CoffeeBean
3364,127.7113948 ,37.58189745,CoffeeBean
4859,125.2349338 ,37.05550774,Starbucks
4455,127.0446452 ,38.78925846,Ideya
1753,127.4725227 ,37.96657843,CoffeeBean
2161,128.4343697 ,38.26420046,Starbucks
4190,125.3032689 ,38.02141372,CoffeeBean
3735,127.0391654 ,36.44446583,Ideya
4381,125.0457047 ,37.7637372,Starbucks
3576,125.6169110 ,38.40335509,CoffeeBean
4474,126.2465086 ,37.19482986,Starbucks
3320,128.1311274 ,37.22124592,Ideya
1510,126.3683991 ,38.05610711,Starbucks
1050,128.0668644 ,37.36377793,Starbucks
4252,126.5727499 ,39.84040191,Starbucks
1001,126.7951213 ,37.56694261,CoffeeBean
3548,126.9727682 ,39.1741416,Starbucks
3757,127.9765695 ,37.13971026,Starbucks
3927,126.9065169 ,36.95878349,CoffeeBean
1498,126.5704684 ,37.91480756,CoffeeBean
2727,126.9584607 ,36.82338739,Ideya
4333,127.8463392 ,36.31631472,CoffeeBean
2418,126.2868863 ,38.24881888,CoffeeBean
2122,127.7592691 ,37.38499943,Ideya
1237,125.3850724 ,38.06404825,CoffeeBean
2354,125.7960176 ,39.12622323,Starbucks
1459,127.6652459 ,38.76515679,Ideya
4736,127.9242840 ,37.70517221,Ideya
3502,127.5323655 ,36.57082061,CoffeeBean
4122,127.3138630 ,37.13297432,Ideya
3988,127.1096664 ,37.32554906,CoffeeBean
4788,126.4027529 ,37.48427665,Ideya
2339,125.1324026 ,37.18119271,CoffeeBean
2140,128.2011785 ,38.32478566,Starbucks
4207,126.7203514 ,39.46152276,CoffeeBean
2427,126.7078400 ,36.64821349,Ideya
3177,127.3724978 ,37.6683739,CoffeeBean
1360,126.9689424 ,35.94364173,Ideya
3644,126.6366054 ,37.55867906,Starbucks
4871,127.5488155 ,37.76210127,Starbucks
1130,126.5491248 ,37.11138303,CoffeeBean
4741,126.8050207 ,38.34050499,Starbucks
1135,126.4851688 ,39.59922074,Ideya
3705,127.4681555 ,39.03435179,Ideya
3496,127.9579276 ,38.14467477,Ideya
4703,128.1214474 ,35.76262314,Starbucks
2768,127.1761721 ,37.21750452,Ideya
1893,125.4987726 ,39.32002503,CoffeeBean
3119,127.6205190 ,38.35528758,Ideya
3213,128.4397245 ,39.38546773,Ideya
4830,126.0213858 ,37.62774985,Starbucks
3866,127.4745416 ,39.10497413,Ideya
3547,125.7991321 ,37.325379,CoffeeBean
4371,126.7811716 ,39.43150645,Ideya
4773,126.2729373 ,38.16142225,CoffeeBean
1388,127.0604157 ,39.10394185,Starbucks
1861,125.7710063 ,39.42380093,CoffeeBean
4702,126.1597297 ,36.52268806,Starbucks
2458,126.5879486 ,36.8952795,Starbucks
3739,125.9908999 ,36.85890449,Ideya
4913,127.2816050 ,38.76466259,CoffeeBean
1185,125.9846616 ,37.19201333,Ideya
4655,127.6180168 ,37.36047887,Starbucks
2544,127.6674325 ,35.31277308,Starbucks
2683,127.4140572 ,37.48885547,Starbucks
3304,126.6039803 ,36.10994399,Ideya
3846,127.9452321 ,37.61583655,Starbucks
2066,127.5812377 ,36.98532178,CoffeeBean
3023,127.5273488 ,38.29880308,CoffeeBean
4257,127.7363586 ,38.39392978,Starbucks
1764,126.9277393 ,39.53698705,Starbucks
4465,128.1465029 ,38.42793041,Starbucks
4846,126.7095489 ,37.46446797,Ideya
2244,127.3267362 ,35.8838727,Ideya
1333,125.8169977 ,35.41218084,Ideya
3729,127.1350961 ,38.89464643,Ideya
1179,126.9835812 ,37.19904345,Ideya
3220,126.7401794 ,37.61173813,Starbucks
2225,126.6170298 ,38.220802,Ideya
1001,126.4982477 ,36.84104975,Ideya
2355,125.7357279 ,38.85398957,CoffeeBean
4845,127.0895431 ,37.98652427,CoffeeBean
4451,127.5515123 ,36.29731246,Ideya
4553,127.2275618 ,38.7843362,Ideya
4677,125.6759486 ,37.47865971,Starbucks
3579,126.9845845 ,40.22299238,Starbucks
2802,127.2358180 ,36.92173776,Starbucks
1878,126.5759286 ,37.60618585,Ideya
2797,127.2771685 ,38.10272664,Starbucks
3186,127.4266745 ,37.82185676,CoffeeBean
1748,126.8035194 ,36.84208138,Starbucks
2499,125.1851517 ,36.88835079,CoffeeBean
2656,127.2890258 ,37.79678352,Ideya
1392,125.3341181 ,37.31691941,CoffeeBean
3040,127.7839092 ,39.64506894,Starbucks
2018,126.6816626 ,36.96932869,CoffeeBean
1729,127.2131253 ,39.5457602,Ideya
1807,124.3345998 ,37.1945871,Ideya
4692,127.7724797 ,36.27528454,Ideya
1896,126.1377619 ,36.75488335,Ideya
3219,127.2683341 ,38.10331559,Starbucks
1016,125.7791490 ,37.55165447,Ideya
2241,126.9649744 ,38.7855726,Starbucks
2036,127.3747929 ,37.48348501,Starbucks
1528,127.3198171 ,35.6094972,Starbucks
3275,126.3152170 ,38.35294718,Ideya
3852,128.0677951 ,38.52114257,CoffeeBean
3870,127.0695046 ,37.39967046,Starbucks
4442,125.5675507 ,37.1372553,Starbucks
2328,124.9522617 ,37.7117658,Starbucks
3778,126.0394746 ,38.28173728,Starbucks
3616,126.7171873 ,36.51768489,CoffeeBean
4901,127.8703114 ,37.25880756,CoffeeBean
3468,126.9229441 ,38.12086152,CoffeeBean
1663,126.2693243 ,37.57773474,Ideya
1021,125.5041755 ,39.20355025,Starbucks
4668,126.5632892 ,35.76995964,Starbucks
3162,126.5939776 ,38.95294686,Starbucks
2112,125.7494950 ,37.53346227,Ideya
4350,126.7927965 ,39.19293887,CoffeeBean
3803,126.3582233 ,37.83084911,Ideya
1705,126.9032918 ,37.65734262,CoffeeBean
3822,127.3789316 ,37.74006575,Starbucks
1891,127.5133328 ,36.71641403,Starbucks
2900,128.7416877 ,36.79020745,Starbucks
2487,127.4535588 ,38.67278877,CoffeeBean
1598,127.2465215 ,37.15991788,Starbucks
3055,127.9660704 ,38.43456628,Starbucks
4378,128.0259851 ,36.0298703,Starbucks
2591,128.3735670 ,37.3139373,Ideya
2776,127.7956350 ,36.3087871,Ideya
2171,126.8736749 ,36.91081401,CoffeeBean
4208,126.2199862 ,38.16662842,Starbucks
3317,127.7635669 ,38.88365569,Ideya
4769,125.8668320 ,37.07206522,Ideya
1532,128.2683049 ,38.00978077,Starbucks
1859,128.6782942 ,37.13709588,Starbucks
2713,124.4936835 ,36.78761875,Starbucks
3929,125.9843150 ,36.88411242,Ideya
4183,128.1275520 ,39.09373904,Ideya
2159,127.3211858 ,37.22752693,Ideya
3774,126.6584534 ,39.32046011,CoffeeBean
2539,128.1947656 ,37.69094603,CoffeeBean
4663,126.3943988 ,37.39028794,CoffeeBean
2838,127.2029495 ,37.31419146,Ideya
1068,126.5665063 ,38.35319869,Starbucks
4953,125.8852960 ,37.75050759,CoffeeBean
2527,127.2862169 ,38.45888264,CoffeeBean
2390,127.5368148 ,36.97712967,CoffeeBean
1185,128.1019691 ,37.33332699,CoffeeBean
3517,126.4950691 ,38.47279719,CoffeeBean
2916,126.9050869 ,38.23279666,Starbucks
3569,128.0563011 ,36.81571408,Starbucks
4539,127.2767340 ,37.02050458,CoffeeBean
2089,127.9004127 ,38.03752179,Starbucks
3459,126.4574827 ,38.93776182,CoffeeBean
3192,127.0099785 ,37.75670307,CoffeeBean
4751,127.3926525 ,35.92377941,Starbucks
1518,126.6650429 ,37.22965851,CoffeeBean
3293,127.6545501 ,38.2390154,Starbucks
2011,126.9345431 ,37.90894554,Ideya
1650,127.0612854 ,38.65624945,CoffeeBean
1143,127.4184806 ,37.28720729,Starbucks
1008,127.4070947 ,35.96094136,Ideya
1191,126.6684337 ,37.39119751,Starbucks
4966,126.6581831 ,37.83935735,Ideya
