customer_id,age,gender,week,transaction,sales,cum_sales
1,34,F,1,1,17,0
1,34,F,2,0,0,17
1,34,F,3,0,0,17
1,34,F,4,0,0,17
1,34,F,5,0,0,17
1,34,F,6,1,22,17
1,34,F,7,0,0,39
1,34,F,8,0,0,39
1,34,F,9,0,0,39
1,34,F,10,0,0,39
2,26,F,1,1,24,0
2,26,F,2,0,0,24
2,26,F,3,0,0,24
2,26,F,4,0,0,24
2,26,F,5,1,15,24
2,26,F,6,0,0,39
2,26,F,7,1,16,39
2,26,F,8,1,20,55
2,26,F,9,0,0,75
2,26,F,10,1,18,75
3,50,F,1,1,14,0
3,50,F,2,0,0,14
3,50,F,3,0,0,14
3,50,F,4,1,26,14
3,50,F,5,1,12,40
3,50,F,6,1,14,52
3,50,F,7,0,0,66
3,50,F,8,0,0,66
3,50,F,9,1,21,66
3,50,F,10,1,19,87
4,37,F,1,1,12,0
4,37,F,2,0,0,12
4,37,F,3,0,0,12
4,37,F,4,0,0,12
4,37,F,5,0,0,12
4,37,F,6,0,0,12
4,37,F,7,0,0,12
4,37,F,8,0,0,12
4,37,F,9,0,0,12
4,37,F,10,0,0,12
5,30,F,1,1,10,0
5,30,F,2,0,0,10
5,30,F,3,0,0,10
5,30,F,4,0,0,10
5,30,F,5,0,0,10
5,30,F,6,0,0,10
5,30,F,7,0,0,10
5,30,F,8,0,0,10
5,30,F,9,0,0,10
5,30,F,10,0,0,10
6,45,F,1,1,25,0
6,45,F,2,0,0,25
6,45,F,3,0,0,25
6,45,F,4,1,22,25
6,45,F,5,0,0,47
6,45,F,6,0,0,47
6,45,F,7,1,27,47
6,45,F,8,0,0,74
6,45,F,9,0,0,74
6,45,F,10,1,18,74
7,65,F,1,1,27,0
7,65,F,2,0,0,27
7,65,F,3,0,0,27
7,65,F,4,1,27,27
7,65,F,5,1,16,54
7,65,F,6,0,0,70
7,65,F,7,1,20,70
7,65,F,8,1,11,90
7,65,F,9,1,22,101
7,65,F,10,1,18,123
8,46,F,1,1,11,0
8,46,F,2,0,0,11
8,46,F,3,0,0,11
8,46,F,4,0,0,11
8,46,F,5,1,16,11
8,46,F,6,0,0,27
8,46,F,7,0,0,27
8,46,F,8,0,0,27
8,46,F,9,1,25,27
8,46,F,10,0,0,52
