brand,lon,lat,sales_log
Starbucks,127.0638782,37.51003785,8.476371197
Starbucks,127.0206347,37.5161838,8.392989588
Starbucks,127.0571003,37.5129394,8.265650166
Starbucks,127.0552134,37.4966152,8.30201781
Starbucks,127.0514396,37.51868785,8.476371197
Starbucks,127.0412398,37.51660516,8.589699882
Starbucks,127.0330005,37.49412876,8.624791202
Starbucks,127.0619041,37.49334362,8.553332238
Starbucks,127.0527047,37.51347189,8.624791202
Starbucks,127.1018421,37.48801336,8.553332238
Starbucks,127.0357413,37.51491147,8.553332238
Starbucks,127.0337924,37.49937038,8.575311145
Starbucks,127.0349412,37.49974019,8.392989588
Starbucks,127.0216293,37.52318421,8.51559191
Starbucks,127.0515717,37.52433852,8.624791202
Starbucks,127.0451163,37.47781003,8.589699882
Starbucks,127.0307455,37.51460026,8.51559191
Starbucks,127.0579257,37.50576457,8.14786713
Starbucks,127.0372774,37.50188574,8.476371197
Starbucks,127.0485159,37.5039411,8.476371197
Starbucks,127.0278969,37.52404691,8.476371197
Starbucks,127.0305366,37.49489249,8.435549202
Starbucks,127.0406526,37.50239076,8.697913467
Starbucks,127.0255555,37.5031322,8.530859382
Starbucks,127.0392228,37.50187455,8.392989588
Starbucks,127.0437621,37.50333505,8.51559191
Starbucks,127.0347168,37.52683303,8.553332238
Starbucks,127.0594268,37.50962404,8.105307516
Starbucks,127.065231,37.50858885,8.476371197
Starbucks,127.0233685,37.51734176,8.51559191
Starbucks,127.0388807,37.49591579,8.589699882
Starbucks,127.0541634,37.48929922,8.624791202
Starbucks,127.0296792,37.49648032,8.14786713
Starbucks,127.0511761,37.50376427,8.476371197
Starbucks,127.0573953,37.4921724,8.589699882
Starbucks,127.0484061,37.49922769,8.807112759
Starbucks,127.0377338,37.50157409,8.575311145
Starbucks,127.056219,37.50836401,8.371010681
Starbucks,127.0318013,37.49065888,8.553332238
Starbucks,127.0895788,37.49033434,8.30201781
Starbucks,127.0555809,37.50694425,8.51559191
Starbucks,127.0286278,37.5191512,8.589699882
Starbucks,127.063193,37.51056404,8.553332238
Starbucks,127.0591391,37.51182033,8.589699882
Starbucks,127.0537151,37.49794579,8.589699882
Starbucks,127.0275177,37.49921076,7.397561536
Starbucks,127.051147,37.51767632,8.553332238
Starbucks,127.032255,37.5115851,8.265650166
Starbucks,127.0418193,37.52525095,8.51559191
Starbucks,127.045958,37.5183013,8.589699882
Starbucks,127.036609,37.48524679,8.624791202
Starbucks,127.048501,37.51135667,8.624791202
Starbucks,127.0330918,37.5273874,8.589699882
Starbucks,127.0626465,37.49456594,8.553332238
Starbucks,127.0605609,37.50757866,8.553332238
Starbucks,127.0266434,37.50209594,8.435549202
Starbucks,127.0306939,37.4923528,8.476371197
Starbucks,127.0285648,37.49783175,8.014335737
Starbucks,127.0403528,37.50902009,8.624791202
Starbucks,127.032255,37.5115851,8.265650166
Starbucks,127.0588155,37.50335683,8.589699882
Starbucks,127.0601595,37.49899741,8.624791202
Starbucks,127.0622213,37.49962651,8.624791202
Starbucks,127.032473,37.48855591,8.553332238
Starbucks,127.0651728,37.50781348,8.697913467
Starbucks,127.0579087,37.50981919,8.617870759
Starbucks,127.046716,37.50495379,8.575311145
Starbucks,127.0445494,37.51077512,8.51559191
Starbucks,127.022506,37.52188494,8.553332238
Starbucks,127.03642,37.52810841,8.553332238
Starbucks,127.0405131,37.52653786,8.105307516
Starbucks,127.0405131,37.52653786,8.105307516
Starbucks,127.0295417,37.52632207,8.589699882
Starbucks,127.0393917,37.49222561,8.265650166
Starbucks,127.0393917,37.49222561,8.265650166
Starbucks,127.0351776,37.50070625,7.655390645
Starbucks,127.0353547,37.50804228,8.188689124
Starbucks,127.0353547,37.50804228,8.188689124
Starbucks,127.0468501,37.52375987,8.589699882
Starbucks,127.056441,37.52217895,8.624791202
Starbucks,127.0379529,37.52239022,8.476371197
Starbucks,127.0601934,37.51524372,8.553332238
Starbucks,127.0574281,37.50756271,8.392989588
Starbucks,127.0685071,37.49799127,8.553332238
Ediya,127.0577002,37.51020498,7.922985959
Ediya,127.0390991,37.49299814,8.371010681
Ediya,127.0816058,37.49039878,8.119696253
Ediya,127.0650384,37.51042548,8.253227646
Ediya,127.0541861,37.50453628,8.006367568
Ediya,127.0415697,37.51558063,8.407378325
Ediya,127.0594504,37.50683997,7.965545573
Ediya,127.0214285,37.51776722,8.253227646
Ediya,127.0352202,37.50178786,8.14786713
Ediya,127.0300538,37.49550124,8.201934351
Ediya,127.0647899,37.50858536,8.435549202
Ediya,127.0776351,37.49419735,8.442469645
Ediya,127.036143,37.52061841,8.442469645
Ediya,127.0352202,37.50178786,7.965545573
Ediya,127.0440422,37.50442759,8.333270353
Ediya,127.0318328,37.49172239,8.333270353
Ediya,127.0504086,37.50273991,8.29404964
Ediya,127.0466001,37.4784888,8.407378325
Ediya,127.0370636,37.51500335,8.589699882
Ediya,127.0395812,37.50126475,8.188689124
Ediya,127.0377866,37.50274589,8.435549202
Ediya,127.0577002,37.51020498,8.105307516
