id,age,number_accounts,price,Extra_content,ads,accept
1,34,5,25,0,0,1
2,45,4,20,Disney,0,0
3,32,2,15,0,one_per_show,0
4,45,5,25,0,one_per_day,0
5,32,4,15,0,0,1
6,36,5,20,0,one_per_show,0
7,33,1,20,Disney,0,0
8,21,5,15,Disney,0,1
9,29,5,25,Disney,0,0
10,39,3,20,Disney,one_per_day,0
11,34,5,15,Marble,one_per_show,1
12,43,2,25,0,one_per_day,0
13,45,1,25,ESPN,one_per_day,0
14,23,2,10,Marble,one_per_day,0
15,53,4,15,Marble,one_per_show,0
16,34,3,10,ESPN,one_per_show,0
17,21,4,10,ESPN,one_per_show,1
18,37,3,15,0,one_per_day,0
19,28,2,25,ESPN,one_per_day,0
20,43,3,20,Disney,one_per_show,0
21,27,3,20,Marble,0,0
22,36,2,20,Marble,one_per_day,1
23,43,5,20,Marble,one_per_show,0
24,38,1,20,Disney,one_per_day,1
25,21,2,20,ESPN,one_per_day,0
26,38,1,20,Marble,one_per_show,0
27,43,5,10,Marble,0,1
28,22,1,15,0,0,0
29,50,1,20,0,one_per_show,0
30,45,2,25,Disney,one_per_show,0
31,38,3,20,Disney,0,1
32,22,2,15,0,0,0
33,49,3,20,0,one_per_day,0
34,49,4,20,ESPN,one_per_show,0
35,48,2,25,ESPN,0,0
36,33,1,15,Marble,one_per_day,0
37,24,4,25,0,one_per_show,0
38,36,5,10,0,0,1
39,27,5,15,Marble,one_per_show,1
40,31,4,20,ESPN,0,1
41,43,4,25,0,0,0
42,23,2,10,0,one_per_day,0
43,26,1,20,Marble,0,0
44,27,5,10,Marble,0,1
45,46,4,20,ESPN,one_per_day,0
46,28,3,10,Disney,one_per_show,0
47,28,3,25,Disney,one_per_day,0
48,39,5,10,Marble,one_per_day,0
49,26,3,25,Marble,one_per_day,0
50,45,3,10,0,one_per_show,0
51,36,2,15,Marble,one_per_day,1
52,22,5,15,ESPN,one_per_day,1
53,31,2,10,Marble,one_per_day,0
54,50,1,25,Marble,one_per_day,0
55,36,5,15,Disney,one_per_show,1
56,43,2,15,ESPN,0,0
57,41,2,15,Disney,one_per_show,0
58,47,2,10,0,0,0
59,32,2,10,Marble,0,0
60,44,5,20,ESPN,one_per_day,1
61,53,3,20,Marble,0,0
62,39,3,10,Marble,0,1
63,48,3,15,Marble,one_per_show,0
64,26,5,25,Disney,one_per_show,1
65,40,1,10,Marble,one_per_show,0
66,45,5,15,Disney,one_per_show,1
67,45,4,15,Marble,one_per_day,1
68,51,4,20,ESPN,one_per_day,0
69,24,4,15,0,one_per_show,0
70,30,5,25,0,one_per_show,0
71,42,2,10,Marble,one_per_day,0
72,41,2,25,Disney,one_per_show,1
73,22,2,10,ESPN,one_per_day,0
74,47,3,10,ESPN,one_per_day,0
75,38,2,10,Marble,0,0
76,34,5,20,Disney,one_per_show,1
77,40,3,20,ESPN,one_per_show,0
78,26,3,15,Disney,one_per_show,0
79,26,2,25,0,one_per_show,1
80,36,2,10,Marble,one_per_show,0
81,26,4,20,0,one_per_show,0
82,32,4,25,Disney,one_per_day,1
83,30,5,15,ESPN,one_per_show,0
84,28,4,20,Marble,one_per_day,0
85,33,1,10,Disney,one_per_show,0
86,33,3,20,0,0,0
87,36,1,10,Disney,one_per_day,0
88,43,4,10,Disney,one_per_day,1
89,27,2,20,Marble,0,0
90,30,4,10,Disney,one_per_day,1
91,40,5,15,Disney,one_per_show,1
92,41,2,20,ESPN,one_per_day,0
93,30,2,15,Disney,0,1
94,45,1,15,Marble,one_per_show,0
95,46,2,15,Marble,one_per_show,0
96,25,3,10,Marble,one_per_show,0
97,52,5,15,Disney,one_per_show,1
98,39,2,25,Marble,one_per_day,0
99,26,4,10,0,one_per_day,0
100,35,2,25,ESPN,one_per_show,0
101,33,1,20,Disney,one_per_day,0
102,27,2,15,ESPN,one_per_show,0
103,23,2,15,Disney,0,1
104,37,3,25,0,one_per_day,0
105,30,4,25,Disney,one_per_day,1
106,49,3,15,Disney,one_per_day,1
107,53,4,20,ESPN,one_per_day,0
108,22,1,25,ESPN,one_per_day,1
109,49,1,25,Marble,0,0
110,48,5,25,Marble,0,1
111,51,3,25,Marble,one_per_show,0
112,43,4,10,0,one_per_show,0
113,35,2,25,Disney,0,0
114,40,2,25,Marble,0,0
115,41,5,25,Disney,one_per_day,1
116,40,5,25,0,one_per_show,0
117,50,5,15,ESPN,one_per_day,1
118,27,5,20,Disney,one_per_day,1
119,27,1,25,Disney,one_per_day,0
120,40,4,10,Disney,0,1
121,50,5,25,ESPN,0,1
122,28,5,10,0,one_per_day,1
123,27,5,15,0,one_per_day,1
124,46,3,25,0,one_per_show,0
125,36,3,20,Marble,one_per_show,0
126,39,4,10,ESPN,0,1
127,52,3,25,Marble,0,0
128,27,3,15,Disney,one_per_day,1
129,34,3,15,Disney,one_per_show,0
130,31,2,20,Disney,0,0
131,38,2,25,ESPN,one_per_show,0
132,39,5,20,0,0,1
133,37,5,10,0,one_per_show,0
134,49,3,20,Disney,0,1
135,42,4,10,Disney,one_per_day,0
136,24,2,20,Disney,0,0
137,31,4,20,Disney,one_per_day,1
138,46,5,15,Disney,0,1
139,48,3,10,ESPN,one_per_show,0
140,39,1,20,Disney,one_per_show,0
141,27,3,15,0,0,0
142,40,5,10,Disney,one_per_day,1
143,47,4,15,ESPN,one_per_show,0
144,37,1,25,0,0,0
145,30,3,20,ESPN,0,0
146,23,5,15,Disney,one_per_show,1
147,52,5,10,Marble,one_per_day,1
148,24,1,20,Marble,one_per_show,0
149,35,2,10,Disney,one_per_show,0
150,26,5,25,Disney,one_per_day,1
151,50,1,20,Marble,0,0
152,39,4,15,Disney,0,1
153,27,4,15,Disney,one_per_day,1
154,23,5,10,ESPN,0,1
155,50,2,10,ESPN,one_per_day,0
156,43,5,15,Disney,one_per_show,1
157,43,2,15,Disney,0,1
158,49,4,15,ESPN,one_per_day,1
159,38,2,15,ESPN,one_per_day,0
160,27,4,25,Disney,one_per_day,1
161,48,2,25,Marble,one_per_day,0
162,27,5,10,Marble,one_per_show,1
163,51,3,25,ESPN,one_per_day,0
164,46,3,15,0,0,0
165,52,4,20,Marble,one_per_show,1
166,28,3,10,0,one_per_day,0
167,25,4,15,Disney,one_per_day,1
168,27,4,10,ESPN,one_per_day,1
169,26,1,20,ESPN,one_per_day,0
170,50,3,15,ESPN,one_per_day,0
171,49,4,20,Disney,one_per_day,1
172,28,1,25,ESPN,one_per_show,0
173,27,5,15,ESPN,one_per_show,1
174,35,3,25,ESPN,one_per_day,0
175,24,3,15,ESPN,0,1
176,49,4,25,0,one_per_show,0
177,49,4,25,Marble,0,0
178,21,1,25,Marble,one_per_show,0
179,21,5,10,Disney,one_per_show,1
180,51,4,25,ESPN,0,1
181,53,4,15,ESPN,one_per_day,1
182,43,5,20,0,0,1
183,47,3,15,ESPN,one_per_day,0
184,43,3,25,Marble,one_per_day,0
185,46,4,25,0,one_per_show,0
186,38,5,10,0,one_per_show,0
187,45,2,15,Disney,one_per_day,0
188,37,2,10,0,one_per_day,0
189,41,3,25,0,0,0
190,38,2,10,0,one_per_day,0
191,24,3,10,Marble,one_per_show,0
192,41,3,15,Disney,0,1
193,32,5,25,Disney,0,1
194,32,4,20,Disney,one_per_day,1
195,33,1,20,0,one_per_show,1
196,48,3,10,0,one_per_show,0
197,26,2,10,0,one_per_day,0
198,26,1,15,0,0,0
199,21,4,10,0,0,1
200,42,3,10,Marble,one_per_day,0
201,34,3,10,Disney,one_per_day,1
202,53,3,25,Disney,one_per_day,0
203,51,2,10,Disney,one_per_day,0
204,39,3,20,Disney,one_per_show,0
205,42,1,10,Marble,one_per_show,0
206,41,1,15,ESPN,one_per_show,0
207,35,1,15,Disney,one_per_show,0
208,44,4,15,0,0,1
209,40,5,20,0,one_per_day,0
210,40,2,25,Marble,one_per_day,0
211,50,2,20,Marble,0,0
212,45,2,15,ESPN,0,0
213,38,3,10,Disney,one_per_day,1
214,53,1,20,ESPN,one_per_show,0
215,21,1,20,0,one_per_day,0
216,25,3,20,0,one_per_day,0
217,37,5,15,Marble,0,1
218,53,5,25,0,0,1
219,35,1,25,Disney,0,0
220,48,5,15,Disney,one_per_day,1
221,52,2,25,0,one_per_day,0
222,37,2,20,Marble,0,0
223,28,2,10,Marble,0,0
224,26,1,25,Disney,0,0
225,23,1,25,Disney,0,1
226,45,2,10,Disney,one_per_day,0
227,36,2,10,Marble,0,0
228,42,2,25,Marble,one_per_day,0
229,37,1,20,Marble,0,1
230,49,2,15,0,one_per_day,0
231,43,3,20,Disney,one_per_show,0
232,35,1,20,Disney,one_per_show,0
233,35,5,10,0,one_per_day,1
234,38,1,25,Disney,one_per_show,0
235,40,5,15,ESPN,0,1
236,34,5,10,ESPN,one_per_day,1
237,38,4,25,ESPN,one_per_show,0
238,25,4,20,Disney,one_per_day,1
239,23,5,20,ESPN,one_per_show,0
240,33,5,20,Disney,0,1
241,32,1,15,Disney,one_per_show,0
242,21,3,25,Marble,one_per_show,0
243,29,3,25,0,one_per_show,0
244,23,2,15,ESPN,one_per_day,0
245,21,4,15,Disney,one_per_day,1
246,32,4,10,Marble,one_per_day,1
247,26,2,15,0,one_per_day,0
248,44,5,15,Marble,one_per_day,1
249,26,1,25,0,one_per_day,0
250,24,3,15,ESPN,one_per_day,0
251,31,3,25,Marble,one_per_show,0
252,28,2,15,0,0,0
253,28,5,10,Marble,0,1
254,50,5,20,Disney,one_per_show,0
255,36,4,10,ESPN,one_per_show,0
256,23,1,25,Marble,0,0
257,30,2,15,ESPN,one_per_day,1
258,38,5,10,Disney,one_per_show,1
259,25,3,25,ESPN,0,0
260,46,4,20,Disney,0,1
261,21,2,20,ESPN,one_per_day,0
262,50,2,10,Disney,0,1
263,49,2,10,0,one_per_day,0
264,23,2,15,Disney,one_per_show,0
265,40,4,10,Disney,one_per_show,1
266,44,3,25,Marble,one_per_day,0
267,48,4,20,Marble,one_per_show,0
268,51,3,10,Disney,one_per_show,0
269,31,2,20,Marble,one_per_show,0
270,50,3,20,0,0,0
271,44,1,15,0,0,0
272,21,5,20,Disney,one_per_show,1
273,37,2,15,Disney,one_per_show,0
274,33,2,15,ESPN,one_per_show,0
275,27,4,20,ESPN,0,1
276,51,4,25,0,one_per_day,0
277,48,2,10,ESPN,one_per_show,0
278,30,1,15,ESPN,0,0
279,35,4,20,Marble,one_per_day,0
280,36,5,20,Disney,0,1
281,50,4,25,0,0,0
282,29,5,20,Marble,0,1
283,27,1,25,0,one_per_day,0
284,42,2,10,Marble,one_per_day,0
285,29,4,20,ESPN,one_per_show,0
286,48,2,25,ESPN,0,1
287,30,5,20,Disney,0,1
288,50,3,20,Marble,one_per_show,0
289,40,2,20,Disney,one_per_show,0
290,52,1,25,ESPN,one_per_show,0
291,42,5,25,Marble,one_per_show,0
292,28,1,25,Disney,one_per_show,0
293,48,3,25,Marble,one_per_show,0
294,43,4,20,0,one_per_day,0
295,37,5,25,ESPN,one_per_day,0
296,25,3,20,ESPN,one_per_day,0
297,51,2,20,ESPN,one_per_show,0
298,31,2,10,ESPN,one_per_show,0
299,32,4,20,Disney,0,1
300,48,4,10,Marble,one_per_day,1
301,40,5,25,0,one_per_show,0
302,33,4,15,Marble,0,1
303,33,1,10,Disney,0,0
304,24,5,15,ESPN,0,1
305,36,5,25,0,one_per_show,0
306,30,5,20,ESPN,one_per_show,0
307,38,2,10,ESPN,one_per_show,0
308,31,3,15,Marble,0,1
309,28,5,15,Disney,0,1
310,34,1,20,Disney,one_per_show,0
311,40,2,20,Marble,one_per_day,0
312,51,3,15,Disney,one_per_day,1
313,52,1,25,0,one_per_show,0
314,26,1,15,ESPN,one_per_show,0
315,38,2,25,0,one_per_day,0
316,30,3,10,ESPN,one_per_show,1
317,44,1,10,ESPN,one_per_show,0
318,25,2,20,0,one_per_day,1
319,39,4,25,Marble,one_per_day,0
320,51,4,15,Disney,0,0
321,31,4,15,Marble,one_per_show,0
322,50,5,25,0,one_per_show,0
323,27,3,10,0,0,0
324,43,4,15,0,one_per_show,0
325,34,4,15,Marble,one_per_day,1
326,52,2,25,0,0,0
327,31,2,25,Disney,one_per_day,0
328,47,3,25,Disney,0,1
329,47,5,25,Disney,one_per_day,1
330,44,2,10,0,0,0
331,28,2,25,Disney,one_per_day,0
332,41,2,15,Disney,one_per_day,0
333,23,5,20,Marble,0,1
334,39,5,10,Disney,one_per_show,1
335,33,1,25,Marble,one_per_day,0
336,21,5,20,Disney,one_per_show,1
337,41,3,20,Disney,one_per_show,0
338,23,2,25,Marble,one_per_show,0
339,23,1,15,Disney,one_per_day,0
340,44,5,25,ESPN,one_per_show,0
341,30,5,10,Marble,one_per_day,1
342,47,5,25,0,one_per_show,0
343,53,3,15,0,one_per_show,0
344,53,1,10,0,one_per_show,1
345,29,1,10,Marble,one_per_show,0
346,51,3,25,0,one_per_show,0
347,32,3,15,Marble,one_per_day,1
348,41,1,25,Disney,one_per_day,0
349,34,1,10,0,0,0
350,32,5,15,Marble,0,1
351,21,5,25,Marble,one_per_show,0
352,43,2,20,ESPN,0,0
353,28,5,25,Disney,0,1
354,24,2,25,0,one_per_show,0
355,53,2,20,Marble,one_per_show,0
356,46,2,25,Disney,one_per_day,0
357,48,5,15,Marble,0,1
358,53,4,25,Disney,0,1
359,45,5,15,Disney,0,1
360,36,1,25,0,0,0
361,47,1,25,Marble,0,0
362,52,1,20,Marble,0,0
363,44,3,10,0,0,0
364,41,2,10,ESPN,one_per_day,0
365,51,5,20,ESPN,one_per_show,0
366,26,4,25,Marble,one_per_show,0
367,32,5,15,Disney,one_per_show,1
368,27,2,10,Marble,one_per_show,0
369,45,2,10,0,one_per_day,0
370,49,5,10,Disney,one_per_show,1
371,44,5,25,Marble,one_per_day,1
372,25,3,25,ESPN,one_per_show,0
373,40,2,20,Marble,0,0
374,28,5,15,Marble,one_per_day,1
375,21,3,20,ESPN,one_per_day,0
376,48,2,20,Marble,0,1
377,27,2,10,Disney,one_per_show,0
378,23,3,25,0,one_per_show,0
379,50,1,15,ESPN,one_per_day,0
380,40,3,20,Marble,one_per_day,0
381,50,2,15,ESPN,0,0
382,48,3,15,0,0,1
383,29,5,20,Disney,0,1
384,51,5,10,Disney,one_per_day,1
385,21,5,10,Marble,0,1
386,38,1,20,0,one_per_day,0
387,21,3,25,ESPN,one_per_show,0
388,42,3,25,ESPN,0,0
389,29,4,20,Disney,one_per_show,0
390,43,5,10,ESPN,one_per_show,1
391,23,2,10,Disney,one_per_show,0
392,44,4,25,0,0,0
393,43,2,10,0,one_per_show,0
394,42,1,25,Marble,0,0
395,43,4,25,ESPN,one_per_show,0
396,36,1,25,Marble,0,0
397,47,2,10,ESPN,one_per_day,0
398,45,1,20,Disney,one_per_day,0
399,27,3,15,Disney,0,1
400,32,5,20,0,0,1
401,49,5,15,0,0,1
402,39,3,25,ESPN,one_per_day,0
403,50,5,15,ESPN,one_per_show,1
404,38,5,25,ESPN,0,1
405,52,5,25,0,0,1
406,24,3,10,Disney,one_per_day,0
407,35,5,15,0,one_per_show,0
408,30,4,10,ESPN,0,1
409,41,5,15,0,one_per_show,0
410,45,1,15,ESPN,0,0
411,45,3,15,0,0,0
412,47,1,15,0,one_per_day,0
413,53,1,25,ESPN,one_per_show,0
414,39,5,25,Marble,0,1
415,44,2,25,Marble,one_per_show,0
416,48,5,20,0,0,1
417,22,5,25,ESPN,one_per_show,0
418,42,4,25,ESPN,one_per_day,0
419,23,4,25,ESPN,0,0
420,25,5,15,Disney,one_per_show,1
421,37,3,10,ESPN,one_per_show,0
422,44,5,20,ESPN,one_per_day,1
423,52,5,20,ESPN,one_per_show,0
424,35,5,10,ESPN,0,1
425,33,5,20,Marble,0,1
426,35,2,15,Disney,0,1
