weekend,price_1,price_2,sales_1,sales_1_old
0,90,100,61,172
0,90,100,100,61
0,70,100,131,100
0,81,90,114,131
0,81,90,88,114
1,90,100,180,88
1,81,90,225,180
0,85.5,95,92,225
0,81,90,92,92
0,66.5,95,158,92
0,66.5,95,143,158
0,85.5,95,120,143
1,90,100,215,120
1,90,100,221,215
0,63,90,105,221
0,90,100,96,105
0,90,100,65,96
0,81,90,99,65
0,81,90,83,99
1,90,100,183,83
1,90,100,221,183
0,70,100,106,221
0,81,90,72,106
0,81,90,93,72
0,90,100,116,93
0,85.5,95,85,116
1,85.5,95,203,85
1,70,100,253,203
0,85.5,95,85,253
0,85.5,95,99,85
0,81,90,111,99
0,90,100,80,111
0,85.5,95,80,80
1,63,90,203,80
1,90,100,169,203
0,90,100,82,169
0,90,100,61,82
0,85.5,95,109,61
0,90,100,100,109
0,90,100,70,100
1,85.5,95,215,70
1,81,90,186,215
0,85.5,95,82,186
0,81,90,116,82
0,63,90,121,116
0,81,90,129,121
0,81,90,125,129
1,81,90,199,125
1,81,90,178,199
0,70,100,123,178
0,81,90,98,123
0,81,90,93,98
0,85.5,95,109,93
0,90,100,96,109
1,90,100,179,96
1,85.5,95,182,179
0,90,100,71,182
0,90,100,97,71
0,85.5,95,88,97
0,85.5,95,91,88
0,70,100,101,91
1,85.5,95,174,101
1,81,90,211,174
0,90,100,114,211
0,81,90,101,114
0,81,90,90,101
0,90,100,76,90
0,70,100,113,76
1,70,100,212,113
1,85.5,95,203,212
0,85.5,95,104,203
0,85.5,95,73,104
0,81,90,127,73
0,81,90,87,127
0,85.5,95,96,87
1,85.5,95,230,96
1,70,100,240,230
0,85.5,95,105,240
0,70,100,101,105
0,81,90,88,101
0,90,100,89,88
0,90,100,92,89
1,90,100,213,92
1,90,100,179,213
0,81,90,74,179
0,63,90,145,74
0,90,100,88,145
0,90,100,104,88
0,90,100,83,104
1,85.5,95,203,83
1,90,100,216,203
0,90,100,75,216
0,90,100,99,75
0,81,90,111,99
0,81,90,95,111
0,90,100,64,95
1,90,100,215,64
1,81,90,201,215
0,85.5,95,93,201
0,85.5,95,104,93
0,90,100,73,104
0,90,100,103,73
0,70,100,134,103
1,90,100,177,134
1,90,100,211,177
0,81,90,125,211
0,90,100,78,125
0,85.5,95,123,78
0,70,100,99,123
0,70,100,125,99
1,90,100,211,125
1,70,100,195,211
0,70,100,143,195
0,90,100,63,143
0,81,90,100,63
0,90,100,58,100
0,90,100,85,58
1,85.5,95,221,85
1,85.5,95,191,221
0,90,100,63,191
0,81,90,82,63
0,90,100,79,82
0,81,90,101,79
0,81,90,70,101
1,90,100,218,70
1,90,100,179,218
0,66.5,95,131,179
0,90,100,92,131
0,90,100,63,92
0,66.5,95,121,63
0,90,100,95,121
1,90,100,207,95
1,90,100,167,207
0,85.5,95,102,167
0,90,100,76,102
0,63,90,102,76
0,85.5,95,75,102
0,90,100,103,75
1,90,100,194,103
1,95,100,205,194
0,85.5,95,78,205
0,85.5,95,104,78
0,81,90,125,104
0,90,100,85,125
0,90,100,83,85
1,90,100,206,83
1,85.5,95,206,206
0,81,90,69,206
0,85.5,95,68,69
0,85.5,95,95,68
0,85.5,95,116,95
0,66.5,95,113,116
1,66.5,95,212,113
1,85.5,95,180,212
0,90,100,113,180
0,70,100,140,113
0,81,90,83,140
0,70,100,110,83
0,90,100,74,110
1,81,90,183,74
1,85.5,95,174,183
0,85.5,95,82,174
0,66.5,95,112,82
0,90,100,116,112
0,90,100,112,116
0,90,100,75,112
1,90,100,171,75
1,90,100,177,171
0,90,100,72,177
0,90,100,64,72
0,90,100,58,64
0,90,100,75,58
0,90,100,89,75
1,90,100,169,89
1,90,100,192,169
0,85.5,95,96,192
0,81,90,91,96
0,85.5,95,100,91
0,90,100,64,100
0,81,90,107,64
1,63,90,245,107
1,90,100,201,245
0,90,100,69,201
0,70,100,149,69
0,90,100,103,149
0,90,100,103,103
0,90,100,82,103
1,70,100,213,82
1,90,100,191,213
0,81,90,71,191
0,90,100,62,71
0,85.5,95,109,62
0,90,100,110,109
0,85.5,95,96,110
1,70,100,249,96
1,90,100,225,249
0,85.5,95,65,225
0,85.5,95,112,65
0,81,90,95,112
0,66.5,95,158,95
0,70,100,106,158
1,90,100,173,106
1,90,100,183,173
0,90,100,114,183
0,90,100,67,114
0,90,100,77,67
0,66.5,95,156,77
0,81,90,77,156
1,85.5,95,218,77
1,90,100,181,218
0,81,90,85,181
0,90,100,88,85
0,90,100,79,88
0,90,100,117,79
0,90,100,58,117
1,70,100,209,58
1,81,90,202,209
0,90,100,66,202
0,81,90,82,66
0,85.5,95,92,82
0,90,100,61,92
0,81,90,79,61
1,90,100,220,79
1,81,90,213,220
0,81,90,117,213
0,81,90,98,117
0,81,90,70,98
0,70,100,98,70
0,90,100,66,98
1,90,100,184,66
1,85.5,95,191,184
0,70,100,130,191
0,81,90,97,130
0,90,100,79,97
0,90,100,112,79
0,85.5,95,75,112
1,85.5,95,226,75
1,85.5,95,198,226
0,81,90,89,198
0,90,100,90,89
0,70,100,121,90
0,81,90,81,121
0,85.5,95,119,81
1,85.5,95,181,119
1,63,90,235,181
0,85.5,95,79,235
0,90,100,89,79
0,81,90,100,89
0,90,100,65,100
0,90,100,112,65
1,90,100,206,112
1,81,90,208,206
0,81,90,101,208
0,66.5,95,116,101
0,90,100,95,116
0,90,100,85,95
0,90,100,92,85
1,81,90,178,92
1,90,100,192,178
0,90,100,89,192
0,90,100,115,89
0,70,100,141,115
0,85.5,95,92,141
0,70,100,152,92
1,85.5,95,228,152
1,81,90,181,228
0,85.5,95,80,181
0,70,100,137,80
0,70,100,129,137
0,85.5,95,92,129
0,90,100,81,92
1,85.5,95,187,81
1,85.5,95,184,187
0,90,100,73,184
0,66.5,95,149,73
0,90,100,79,149
0,66.5,95,129,79
0,85.5,95,124,129
1,90,100,191,124
1,90,100,198,191
0,90,100,82,198
0,70,100,118,82
0,90,100,65,118
0,90,100,91,65
0,85.5,95,92,91
1,85.5,95,222,92
1,85.5,95,204,222
0,90,100,62,204
0,70,100,138,62
0,70,100,142,138
0,90,100,93,142
0,90,100,86,93
1,81,90,223,86
1,81,90,231,223
0,85.5,95,116,231
0,90,100,69,116
0,85.5,95,84,69
0,90,100,68,84
0,90,100,62,68
