x1,x2,y
0.170511742,0.88698883,1.396534082
0.055084098,0.714021569,1.62704096
0.580548321,0.250756356,3.07903561
0.532928059,0.85444553,1.824036998
0.244205049,0.425245185,2.39371468
0.809782077,0.384012357,3.041757364
0.055861098,0.005640324,3.04458045
0.119126218,0.23303352,2.653059178
0.071021339,0.648113133,1.774795074
0.932850852,0.821284445,2.290281962
0.866971133,0.836924586,2.193121961
0.045906096,0.773757739,1.498390618
0.373878869,0.845960335,1.681958199
0.757782918,0.396928788,2.963925342
0.345151018,0.451028217,2.443094585
0.218883702,0.247068816,2.72474607
0.109606476,0.455010783,2.199584909
0.36694463,0.918772934,1.529398763
0.859768507,0.237779571,3.384209366
0.586737154,0.981517239,1.623702676
0.477140557,0.615261508,2.246617541
0.474691045,0.215670609,3.043349827
0.58880645,0.822822796,1.943160859
0.86042079,0.451137682,2.958145427
0.613033346,0.835712518,1.94160831
0.473229763,0.208495449,3.056238866
0.030448622,0.449167527,2.132113569
0.77759679,0.942027348,1.893542094
0.795068251,0.733986434,2.327095383
0.93110461,0.344646572,3.241811466
0.401356518,0.543925353,2.313505812
0.679199831,0.205718372,3.267763087
0.741542253,0.135166187,3.471209879
0.130203807,0.828989407,1.472224992
0.807141765,0.487000126,2.833141513
0.206610042,0.694972501,1.816665039
0.005082648,0.616697818,1.771687012
0.396643149,0.876554947,1.643533255
0.371044113,0.322712001,2.725620111
0.564156904,0.466592386,2.630972132
0.166748913,0.609173229,1.948402456
0.837968109,0.725889772,2.386188565
0.063631013,0.596299687,1.87103164
0.918238781,0.532556748,2.853125285
0.430980758,0.335401264,2.760178231
0.065882406,0.132425067,2.801032272
0.247381172,0.785470524,1.676440123
0.436596184,0.89166578,1.653264624
0.708976943,0.567645984,2.573684976
0.877451294,0.673979901,2.529491492
0.487735819,0.961999483,1.563736853
0.651427356,0.809239836,2.032947685
0.96619536,0.648316635,2.66956209
0.835277359,0.02875367,3.77777002
0.849334095,0.062402558,3.724528979
0.659186669,0.032260308,3.594666053
0.304015834,0.221587738,2.860840358
0.77865227,0.655572719,2.467506831
0.85737879,0.515591829,2.826195133
0.017674252,0.9049835,1.207707251
0.411346066,0.395412964,2.620520138
0.075889547,0.186605579,2.702678389
0.390471583,0.835695824,1.719079934
0.311610992,0.518845474,2.273920044
0.536295592,0.611835269,2.312625054
0.799985902,0.813194269,2.173597363
0.076350025,0.625957071,1.824435882
0.72898947,0.319876752,3.089235966
0.314403887,0.555036706,2.204330474
0.906689434,0.407925567,3.090838299
0.073283681,0.326170996,2.420941688
0.368370215,0.618883519,2.130603176
0.958575981,0.136284433,3.686007115
0.638716129,0.466641185,2.705433758
0.208856856,0.778431616,1.651993624
0.186197576,0.930547921,1.325101734
0.169979376,0.91069835,1.348582676
0.694441465,0.086018824,3.522403817
0.322418234,0.559109234,2.204199766
0.204694844,0.348998511,2.506697822
0.251824522,0.406865989,2.438092544
0.696047973,0.184775329,3.326497315
0.054900478,0.493334898,2.068230682
0.899563148,0.574676638,2.750209872
0.127604922,0.043738974,3.040126974
0.047502441,0.23356044,2.580381561
0.449463135,0.765598225,1.918266685
0.293876765,0.631983604,2.029909557
0.025009179,0.239596155,2.545816868
0.430744227,0.207689401,3.015365424
0.877809636,0.301040771,3.275728094
0.343524775,0.526669581,2.290185613
0.930258996,0.641537042,2.647184911
0.350569909,0.671931736,2.006706438
0.271408081,0.290438029,2.690532023
0.943127249,0.982445171,1.978236907
0.861727993,0.294848293,3.272031406
0.214237545,0.452478264,2.309281016
0.456748707,0.444968674,2.566811359
0.773761364,0.230259283,3.313242798
0.653797377,0.443648684,2.766500009
0.609797101,0.360999704,2.887797693
0.26091627,0.770566762,1.719782745
0.603500297,0.978767151,1.645965995
0.503134256,0.826729097,1.849676063
0.783817377,0.111730343,3.560356692
0.573195175,0.617251465,2.338692246
0.593322122,0.870111407,1.853099308
0.936346517,0.034177393,3.86799173
0.061818825,0.850443448,1.360931929
0.397292222,0.100072674,3.197146874
0.815387284,0.37017101,3.075045265
0.382890088,0.517998211,2.346893667
0.30127048,0.463677436,2.373915608
0.913963143,0.438164216,3.037634711
0.532284823,0.51004735,2.512190123
0.188002717,0.049239453,3.089523811
0.736170538,0.434816721,2.866537096
0.692305193,0.295933932,3.100437328
0.222325868,0.846048117,1.530229635
0.798701736,0.860576571,2.077548594
0.067598617,0.648289761,1.771019096
0.998089269,0.863614069,2.270861131
0.056389365,0.879840339,1.296708687
0.596595303,0.12823599,3.340123324
0.783700492,0.589413459,2.604873573
0.62993576,0.127908551,3.374118658
0.399698236,0.107160292,3.185377652
0.497956825,0.142272441,3.213411943
0.668059653,0.627747267,2.412565119
0.802798889,0.398413652,3.005971585
0.796105993,0.054401216,3.68730356
0.867379459,0.195013596,3.477352266
0.442060144,0.40493442,2.632191305
0.908233871,0.124552322,3.659129227
0.050167628,0.267404473,2.515358681
0.117051936,0.430273337,2.256505263
0.785981091,0.386834596,3.012311899
0.534686675,0.847251358,1.840183958
0.5076987,0.978392589,1.550913522
0.494131999,0.464343299,2.565445402
0.429297915,0.921675439,1.585947036
0.034996543,0.879293478,1.276409587
0.271574092,0.091760787,3.088052519
0.10479058,0.776203445,1.552383689
0.699762152,0.855767368,1.988227416
0.342477025,0.018667576,3.305141873
0.423646201,0.331202136,2.761241929
0.447609411,0.860404436,1.726800539
0.653139104,0.15544329,3.342252525
0.707508582,0.665662565,2.376183452
0.36780965,0.130495895,3.10681786
0.212718528,0.683065287,1.846587953
0.630514376,0.764998547,2.100517282
0.309980759,0.234598534,2.840783691
0.208358826,0.411179718,2.38599939
0.323921141,0.297081036,2.729759069
0.786261816,0.348199393,3.089863031
0.597560994,0.409606971,2.778347051
0.413596528,0.331196936,2.751202656
0.955617012,0.830261301,2.295094411
0.726333475,0.870118121,1.986097233
0.03676143,0.944728216,1.147304999
0.345478645,0.997312989,1.350852667
0.182927689,0.625538765,1.931850159
0.658338449,0.03255661,3.593225228
0.341224362,0.579148277,2.182927808
0.068439432,0.275142626,2.518154179
0.341125181,0.159347652,3.022429876
0.24067749,0.12414897,2.99237955
0.957687997,0.453689211,3.050309574
0.524339293,0.908079184,1.708180925
0.417961228,0.991309457,1.435342313
0.447551635,0.214094028,3.019363579
0.125080856,0.848235493,1.428609869
0.496677022,0.223714306,3.049248409
0.898246546,0.517766787,2.862712971
0.730853189,0.216464749,3.29792369
0.726606273,0.310033168,3.106539938
0.124131445,0.0517562,3.020619046
0.480896968,0.36739235,2.746112268
0.034757911,0.259097526,2.516562859
0.887029534,0.047704528,3.791620478
0.533568282,0.155196438,3.223175406
