sample,gender,age,store,satisfaction,recommend
1,1,5,3,4,7
2,2,5,3,7,10
3,2,5,1,5,8
4,2,3,1,6,9
5,1,2,2,7,10
6,1,3,1,6,9
7,1,3,2,7,10
8,1,3,2,2,3
9,2,3,1,6,9
10,2,3,1,5,8
11,1,4,1,5,8
12,2,3,3,7,10
13,1,5,2,7,10
14,2,2,3,7,10
15,1,2,2,6,9
16,1,5,3,4,7
17,1,5,1,3,6
18,1,5,2,5,8
19,1,2,1,5,8
20,1,5,2,7,10
21,1,4,2,5,8
22,2,2,1,4,7
23,2,5,1,6,9
24,1,5,2,5,8
25,2,4,2,6,9
26,2,3,1,4,7
27,1,2,2,6,9
28,1,3,1,3,6
29,2,4,1,5,7
30,2,5,3,6,9
31,2,5,1,4,7
32,1,4,2,5,8
33,1,4,2,4,7
34,1,4,1,5,8
35,2,3,1,5,8
36,2,5,1,4,7
37,1,2,3,3,6
38,1,4,1,4,7
39,2,3,1,4,7
40,2,4,3,6,9
41,1,4,2,3,6
42,2,2,1,4,7
43,1,5,2,6,9
44,2,5,3,5,8
45,1,2,1,5,7
46,1,3,1,6,9
47,1,5,3,7,10
48,2,5,2,6,9
49,2,4,1,4,7
50,2,2,1,5,8
51,2,4,1,3,6
52,2,2,1,4,7
53,1,3,2,7,10
54,1,4,1,4,7
55,2,2,1,3,6
56,2,5,2,5,8
57,2,3,1,3,4
58,1,4,2,4,7
59,2,2,1,5,8
60,1,3,2,6,9
61,2,4,1,5,8
62,1,2,1,5,8
63,2,2,2,6,9
64,2,3,1,6,9
65,2,2,1,3,6
66,2,4,2,6,9
67,1,5,3,1,3
68,2,2,2,5,8
69,2,2,1,5,8
70,1,2,2,5,8
71,2,4,3,6,9
72,2,4,1,3,6
73,2,4,3,7,10
74,1,4,2,7,10
75,2,5,3,7,10
76,1,5,1,6,9
77,1,2,2,7,10
78,1,2,1,4,7
79,2,3,1,5,8
80,2,3,3,3,6
81,1,3,2,3,6
82,2,4,3,6,9
83,2,4,1,6,9
84,1,2,1,7,10
85,2,5,2,5,6
86,2,2,1,5,8
87,2,2,1,5,7
88,2,5,3,5,8
89,1,4,3,4,6
90,2,4,2,5,8
91,2,2,1,3,6
92,1,5,1,7,10
93,1,2,1,6,9
94,2,5,3,5,8
95,1,2,3,5,8
96,1,3,1,5,7
97,2,3,3,4,7
98,1,3,1,4,7
99,1,3,3,4,7
100,2,3,1,3,6
101,2,3,1,5,8
102,1,2,3,4,7
103,2,5,3,4,7
104,1,3,2,5,8
105,2,4,1,4,7
106,1,3,2,5,8
107,1,2,1,4,7
108,2,2,1,5,8
109,2,3,1,4,7
110,2,2,1,6,9
111,1,2,1,3,6
112,1,2,3,5,8
113,1,4,3,5,8
114,1,2,1,5,8
115,1,2,2,3,6
116,2,3,2,5,8
117,2,3,2,5,8
118,1,4,2,3,3
119,1,2,1,6,9
120,2,5,3,4,7
121,2,3,3,6,9
122,1,5,1,4,7
123,2,3,1,7,10
124,2,4,3,7,10
125,2,3,1,4,7
126,1,2,1,4,7
127,1,4,3,5,8
128,1,2,1,4,7
129,2,5,1,5,8
130,2,3,3,6,9
131,1,5,3,3,6
132,1,2,2,3,6
133,1,2,2,4,7
134,1,3,2,3,6
135,1,5,3,5,8
136,2,4,3,6,9
137,1,3,1,7,10
138,1,2,2,5,8
139,1,4,3,5,8
140,1,5,2,6,9
141,1,5,1,4,7
142,2,4,1,6,9
143,2,2,1,3,5
144,1,2,2,2,5
145,1,4,2,6,9
146,2,2,1,4,7
147,2,4,1,4,6
148,1,3,1,4,7
149,2,2,2,6,10
150,2,4,1,5,7
