id,gender,app,satis
1,male,AA,4
4,male,AA,6
5,female,AA,7
7,female,AA,3
8,female,AA,7
9,female,AA,6
10,male,AA,2
13,male,AA,6
14,male,AA,3
17,male,AA,5
27,female,AA,6
33,female,AA,5
37,male,AA,7
38,female,AA,3
39,male,AA,5
42,female,AA,6
43,male,AA,2
47,female,AA,5
49,female,AA,6
52,male,AA,5
56,male,AA,7
58,male,AA,3
68,male,AA,3
71,female,AA,3
73,male,AA,2
74,male,AA,7
75,female,AA,6
77,male,AA,6
79,male,AA,4
80,female,AA,4
81,male,AA,2
82,male,AA,4
83,female,AA,7
87,male,AA,2
88,female,AA,6
89,male,AA,5
92,female,AA,5
97,female,AA,4
101,female,AA,7
106,male,AA,6
109,female,AA,5
114,male,AA,4
117,female,AA,5
123,female,AA,2
125,male,AA,4
127,female,AA,7
128,male,AA,6
133,female,AA,6
134,male,AA,6
138,male,AA,4
139,male,AA,7
142,female,AA,3
144,female,AA,2
146,female,AA,6
148,male,AA,3
6,female,BB,2
11,male,BB,3
15,female,BB,2
19,female,BB,1
21,female,BB,5
22,male,BB,1
24,female,BB,1
25,male,BB,2
30,male,BB,6
36,male,BB,6
40,male,BB,4
45,male,BB,1
46,female,BB,5
50,male,BB,5
55,male,BB,5
60,female,BB,1
64,male,BB,6
65,male,BB,5
66,male,BB,1
69,female,BB,4
72,male,BB,3
78,male,BB,2
84,female,BB,3
85,female,BB,6
86,female,BB,3
90,female,BB,4
94,female,BB,1
96,female,BB,7
98,male,BB,1
102,female,BB,6
104,female,BB,3
105,female,BB,1
107,female,BB,1
111,male,BB,2
113,female,BB,7
116,male,BB,4
118,male,BB,1
119,male,BB,3
120,male,BB,6
121,female,BB,5
124,female,BB,2
130,male,BB,5
131,male,BB,1
137,male,BB,2
141,male,BB,1
147,female,BB,6
150,female,BB,1
2,female,CC,1
3,male,CC,5
12,female,CC,3
16,female,CC,2
18,male,CC,3
20,female,CC,1
23,male,CC,1
26,female,CC,5
28,male,CC,2
29,male,CC,1
31,female,CC,5
32,male,CC,3
34,female,CC,7
35,female,CC,4
41,male,CC,3
44,female,CC,7
48,male,CC,4
51,male,CC,2
53,female,CC,6
54,male,CC,6
57,female,CC,2
59,male,CC,1
61,male,CC,2
62,female,CC,3
63,female,CC,6
67,female,CC,4
70,male,CC,2
76,female,CC,6
91,male,CC,1
93,male,CC,5
95,male,CC,5
99,female,CC,2
100,male,CC,7
103,male,CC,6
108,male,CC,3
110,male,CC,5
112,male,CC,6
115,female,CC,1
122,female,CC,7
126,female,CC,2
129,female,CC,4
132,female,CC,7
135,male,CC,5
136,female,CC,4
140,male,CC,4
143,male,CC,7
145,female,CC,7
149,male,CC,5
