customer_id,age,gender,week,transaction,sales,cum_sales
1,34,F,1,1,24,0
1,34,F,2,0,0,24
1,34,F,3,1,18,24
1,34,F,4,0,0,42
1,34,F,5,1,26,42
1,34,F,6,1,10,68
1,34,F,7,1,17,78
1,34,F,8,1,18,95
1,34,F,9,1,25,113
1,34,F,10,1,21,138
2,26,F,1,1,22,0
2,26,F,2,0,0,22
2,26,F,3,0,0,22
2,26,F,4,1,10,22
2,26,F,5,1,14,32
2,26,F,6,0,0,46
2,26,F,7,0,0,46
2,26,F,8,1,15,46
2,26,F,9,1,23,61
2,26,F,10,1,27,84
3,50,F,1,1,20,0
3,50,F,2,0,0,20
3,50,F,3,1,29,20
3,50,F,4,1,29,49
3,50,F,5,1,12,78
3,50,F,6,1,29,90
3,50,F,7,1,18,119
3,50,F,8,1,23,137
3,50,F,9,1,15,160
3,50,F,10,1,30,175
4,37,F,1,1,22,0
4,37,F,2,0,0,22
4,37,F,3,0,0,22
4,37,F,4,1,15,22
4,37,F,5,0,0,37
4,37,F,6,0,0,37
4,37,F,7,1,11,37
4,37,F,8,1,12,48
4,37,F,9,1,11,60
4,37,F,10,1,15,71
5,30,F,1,1,19,0
5,30,F,2,0,0,19
5,30,F,3,0,0,19
5,30,F,4,0,0,19
5,30,F,5,0,0,19
5,30,F,6,1,11,19
5,30,F,7,0,0,30
5,30,F,8,1,25,30
5,30,F,9,0,0,55
5,30,F,10,1,15,55
6,45,F,1,1,16,0
6,45,F,2,0,0,16
6,45,F,3,1,27,16
6,45,F,4,0,0,43
6,45,F,5,0,0,43
6,45,F,6,0,0,43
6,45,F,7,1,19,43
6,45,F,8,1,20,62
6,45,F,9,1,20,82
6,45,F,10,1,25,102
7,65,F,1,1,28,0
7,65,F,2,0,0,28
7,65,F,3,1,22,28
7,65,F,4,0,0,50
7,65,F,5,1,30,50
7,65,F,6,1,18,80
7,65,F,7,1,27,98
7,65,F,8,1,17,125
7,65,F,9,1,15,142
7,65,F,10,1,16,157
8,46,F,1,1,22,0
8,46,F,2,0,0,22
8,46,F,3,0,0,22
8,46,F,4,0,0,22
8,46,F,5,0,0,22
8,46,F,6,1,30,22
8,46,F,7,1,21,52
8,46,F,8,1,25,73
8,46,F,9,1,15,98
8,46,F,10,1,25,113
9,30,M,1,1,23,0
9,30,M,2,0,0,23
9,30,M,3,1,13,23
9,30,M,4,1,13,36
9,30,M,5,1,19,49
9,30,M,6,1,27,68
9,30,M,7,1,27,95
9,30,M,8,1,28,122
9,30,M,9,1,29,150
9,30,M,10,1,29,179
10,63,M,1,1,19,0
10,63,M,2,0,0,19
10,63,M,3,0,0,19
10,63,M,4,1,18,19
10,63,M,5,0,0,37
10,63,M,6,1,14,37
10,63,M,7,1,10,51
10,63,M,8,1,19,61
10,63,M,9,1,12,80
10,63,M,10,1,21,92
11,52,M,1,1,17,0
11,52,M,2,0,0,17
11,52,M,3,0,0,17
11,52,M,4,0,0,17
11,52,M,5,0,0,17
11,52,M,6,1,30,17
11,52,M,7,0,0,47
11,52,M,8,1,22,47
11,52,M,9,1,13,69
11,52,M,10,1,16,82
12,23,M,1,1,23,0
12,23,M,2,0,0,23
12,23,M,3,1,13,23
12,23,M,4,0,0,36
12,23,M,5,0,0,36
12,23,M,6,0,0,36
12,23,M,7,1,21,36
12,23,M,8,1,20,57
12,23,M,9,1,29,77
12,23,M,10,1,20,106
13,35,F,1,1,10,0
13,35,F,2,0,0,10
13,35,F,3,0,0,10
13,35,F,4,0,0,10
13,35,F,5,0,0,10
13,35,F,6,0,0,10
13,35,F,7,0,0,10
13,35,F,8,0,0,10
13,35,F,9,0,0,10
13,35,F,10,0,0,10
14,68,F,1,1,29,0
14,68,F,2,0,0,29
14,68,F,3,1,12,29
14,68,F,4,1,19,41
14,68,F,5,1,20,60
14,68,F,6,1,28,80
14,68,F,7,1,29,108
14,68,F,8,1,29,137
14,68,F,9,1,23,166
14,68,F,10,1,22,189
15,22,M,1,1,29,0
15,22,M,2,0,0,29
15,22,M,3,1,10,29
15,22,M,4,0,0,39
15,22,M,5,1,20,39
15,22,M,6,1,27,59
15,22,M,7,1,30,86
15,22,M,8,1,19,116
15,22,M,9,1,14,135
15,22,M,10,1,23,149
16,64,F,1,1,15,0
16,64,F,2,0,0,15
16,64,F,3,0,0,15
16,64,F,4,0,0,15
16,64,F,5,0,0,15
16,64,F,6,1,24,15
16,64,F,7,0,0,39
16,64,F,8,0,0,39
16,64,F,9,1,11,39
16,64,F,10,0,0,50
17,42,M,1,1,15,0
17,42,M,2,0,0,15
17,42,M,3,1,15,15
17,42,M,4,0,0,30
17,42,M,5,1,29,30
17,42,M,6,0,0,59
17,42,M,7,1,17,59
17,42,M,8,1,18,76
17,42,M,9,1,17,94
17,42,M,10,1,30,111
18,19,F,1,1,10,0
18,19,F,2,0,0,10
18,19,F,3,0,0,10
18,19,F,4,1,28,10
18,19,F,5,0,0,38
18,19,F,6,1,20,38
18,19,F,7,0,0,58
18,19,F,8,1,19,58
18,19,F,9,1,11,77
18,19,F,10,1,27,88
19,27,M,1,1,12,0
19,27,M,2,0,0,12
19,27,M,3,1,20,12
19,27,M,4,1,20,32
19,27,M,5,1,17,52
19,27,M,6,1,20,69
19,27,M,7,1,15,89
19,27,M,8,1,24,104
19,27,M,9,1,19,128
19,27,M,10,1,21,147
20,47,F,1,1,30,0
20,47,F,2,0,0,30
20,47,F,3,1,18,30
20,47,F,4,0,0,48
20,47,F,5,1,20,48
20,47,F,6,1,16,68
20,47,F,7,1,21,84
20,47,F,8,1,11,105
20,47,F,9,1,22,116
20,47,F,10,1,17,138
21,67,F,1,1,30,0
21,67,F,2,0,0,30
21,67,F,3,0,0,30
21,67,F,4,0,0,30
21,67,F,5,1,14,30
21,67,F,6,0,0,44
21,67,F,7,1,27,44
21,67,F,8,1,11,71
21,67,F,9,1,21,82
21,67,F,10,1,19,103
22,62,M,1,1,28,0
22,62,M,2,0,0,28
22,62,M,3,1,28,28
22,62,M,4,0,0,56
22,62,M,5,1,22,56
22,62,M,6,1,27,78
22,62,M,7,1,23,105
22,62,M,8,1,18,128
22,62,M,9,1,10,146
22,62,M,10,1,12,156
23,22,F,1,1,14,0
23,22,F,2,0,0,14
23,22,F,3,1,10,14
23,22,F,4,0,0,24
23,22,F,5,0,0,24
23,22,F,6,1,16,24
