id,sunshine,keebler,nabisco,disp.sunshine,feat.sunshine,price.sunshine,sunshine,keebler,nabisco,disp.keebler,feat.keebler,price.keebler,sunshine,keebler,nabisco,disp.nabisco,feat.nabisco,price.nabisco,sunshine,keebler,nabisco,disp.private,feat.private,price.private,choice
1,1,0,0,0,0,98.000002,0,1,0,0,0,88,0,0,1,0,0,120,0,0,0,0,0,70.999998,nabisco
1,1,0,0,0,0,99.000001,0,1,0,0,0,109,0,0,1,0,0,99.000001,0,0,0,0,0,70.999998,nabisco
1,1,0,0,1,0,49.000001,0,1,0,0,0,109,0,0,1,0,0,109,0,0,0,0,0,77.999997,sunshine
1,1,0,0,0,0,103,0,1,0,0,0,109,0,0,1,0,0,88.999999,0,0,0,0,0,77.999997,nabisco
1,1,0,0,0,0,109,0,1,0,0,0,109,0,0,1,0,0,119.00001,0,0,0,0,0,63.999999,nabisco
1,1,0,0,0,0,88.999999,0,1,0,0,0,109,0,0,1,0,0,119.00001,0,0,0,0,0,83.999997,nabisco
1,1,0,0,0,0,109,0,1,0,0,0,109,0,0,1,1,0,129,0,0,0,0,0,77.999997,sunshine
1,1,0,0,0,0,109,0,1,0,0,0,119.00001,0,0,1,1,0,129,0,0,0,0,0,77.999997,nabisco
1,1,0,0,0,0,109,0,1,0,0,0,121,0,0,1,1,0,109,0,0,0,0,0,77.999997,nabisco
1,1,0,0,1,0,79.000002,0,1,0,0,0,121,0,0,1,1,0,109,0,0,0,0,0,77.999997,nabisco
1,1,0,0,0,0,109,0,1,0,0,0,113,0,0,1,1,0,109,0,0,0,0,0,95.999998,nabisco
1,1,0,0,0,0,109,0,1,0,0,0,121,0,0,1,0,0,99.000001,0,0,0,0,0,86.000001,nabisco
1,1,0,0,1,0,88.999999,0,1,0,0,0,121,0,0,1,0,0,99.000001,0,0,0,0,0,86.000001,nabisco
1,1,0,0,0,0,109,0,1,0,1,0,109,0,0,1,1,0,129,0,0,0,0,0,95.999998,nabisco
1,1,0,0,0,0,109,0,1,0,0,0,109,0,0,1,0,0,129,0,0,0,0,0,79.000002,nabisco
1,1,0,0,0,0,129,0,1,0,0,0,104,0,0,1,1,0,129,0,0,0,0,0,95.999998,nabisco
2,1,0,0,0,0,79.000002,0,1,0,0,0,99.000001,0,0,1,0,0,69,0,0,0,0,0,69,nabisco
2,1,0,0,1,1,69,0,1,0,0,0,105,0,0,1,1,0,88.999999,0,0,0,0,0,64.999998,sunshine
2,1,0,0,1,1,79.000002,0,1,0,0,0,125,0,0,1,0,0,105.99999,0,0,0,0,0,69,sunshine
2,1,0,0,1,0,79.000002,0,1,0,0,0,125,0,0,1,0,0,105.99999,0,0,0,0,0,69,sunshine
2,1,0,0,0,0,79.000002,0,1,0,0,0,125,0,0,1,1,0,99.000001,0,0,0,0,0,69,sunshine
2,1,0,0,0,0,97.000003,0,1,0,0,0,115,0,0,1,0,1,109,0,0,0,1,1,56.999999,sunshine
2,1,0,0,1,0,79.000002,0,1,0,0,0,135,0,0,1,1,0,109,0,0,0,0,0,64.999998,sunshine
2,1,0,0,0,0,97.000003,0,1,0,1,0,99.000001,0,0,1,0,0,125,0,0,0,0,0,60.000002,keebler
2,1,0,0,0,0,109,0,1,0,0,0,135,0,0,1,0,0,129,0,0,0,0,0,73.000002,sunshine
2,1,0,0,0,0,109,0,1,0,0,0,135,0,0,1,0,0,115,0,0,0,0,0,75.999999,sunshine
2,1,0,0,0,0,105,0,1,0,1,0,125,0,0,1,1,0,99.000001,0,0,0,0,0,58.999997,nabisco
2,1,0,0,0,0,105,0,1,0,1,1,99.000001,0,0,1,0,0,129,0,0,0,0,0,58.999997,keebler
2,1,0,0,0,0,88.999999,0,1,0,0,0,135,0,0,1,0,0,104,0,0,0,0,0,88.999999,sunshine
2,1,0,0,0,0,105,0,1,0,0,0,129,0,0,1,1,0,99.000001,0,0,0,0,0,58.999997,nabisco
2,1,0,0,0,0,105,0,1,0,0,0,129,0,0,1,1,0,99.000001,0,0,0,0,0,64.999998,nabisco
2,1,0,0,0,0,105,0,1,0,0,0,129,0,0,1,0,0,129,0,0,0,0,0,64.999998,sunshine
3,1,0,0,0,0,68.000001,0,1,0,0,0,88,0,0,1,0,0,88,0,0,0,0,0,58.999997,nabisco
3,1,0,0,0,0,99.000001,0,1,0,0,0,109,0,0,1,0,0,99.000001,0,0,0,0,0,79.000002,private
3,1,0,0,0,0,103,0,1,0,0,0,109,0,0,1,0,0,88.999999,0,0,0,0,0,55.000001,private
3,1,0,0,1,0,88.999999,0,1,0,0,0,104,0,0,1,0,0,99.000001,0,0,0,1,1,50,private
