brand,sic,city,gu,dong,address,zip,lon,lat,sales
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로103길 9,6173,127.0638782,37.51003785,4563
Starbucks,I56220,서울특별시,강남구,논현1동,서울특별시 강남구 도산대로 108,6038,127.0206347,37.5161838,3480
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로 513,6164,127.0571003,37.5129394,4831
Starbucks,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 도곡로 408,6278,127.0552134,37.4966152,4410
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 학동로 506,6084,127.0514396,37.51868785,4622
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 선릉로 669,6099,127.0412398,37.51660516,3663
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 역삼로 123,6243,127.0330005,37.49412876,4570
Starbucks,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 남부순환로 2936,6291,127.0619041,37.49334362,3892
Starbucks,I56220,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성로 605,6095,127.0527047,37.51347189,4320
Starbucks,I56220,서울특별시,강남구,수서동,서울특별시 강남구 밤고개로1길 10,6349,127.1018421,37.48801336,4655
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 언주로 650,6098,127.0357413,37.51491147,4530
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 134,6235,127.0337924,37.49937038,4473
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 142,6236,127.0349412,37.49974019,4843
Starbucks,I56220,서울특별시,강남구,신사동,서울특별시 강남구 논현로175길 94,6028,127.0216293,37.52318421,3178
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 도산대로 532,6071,127.0515717,37.52433852,3755
Starbucks,I56220,서울특별시,강남구,개포4동,서울특별시 강남구 논현로 88,6307,127.0451163,37.47781003,4233
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 논현로 704,6052,127.0307455,37.51460026,4208
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 삼성로86길 7,6178,127.0579257,37.50576457,3058
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 논현로 508,6141,127.0372774,37.50188574,4926
Starbucks,I56220,서울특별시,강남구,역삼2동,서울특별시 강남구 테헤란로 334,6212,127.0485159,37.5039411,3277
Starbucks,I56220,서울특별시,강남구,신사동,서울특별시 강남구 논현로 841,6031,127.0278969,37.52404691,4988
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로78길 14,6242,127.0305366,37.49489249,3728
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 223,6142,127.0406526,37.50239076,4499
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 456,6123,127.0255555,37.5031322,3338
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 211,6141,127.0392228,37.50187455,3778
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 305,6152,127.0437621,37.50333505,3751
Starbucks,I56220,서울특별시,강남구,압구정동,서울특별시 강남구 압구정로42길 32,6017,127.0347168,37.52683303,3389
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로87길 22,6164,127.0594268,37.50962404,4557
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 테헤란로104길 9,6174,127.065231,37.50858885,3129
Starbucks,I56220,서울특별시,강남구,논현1동,서울특별시 강남구 도산대로 134,6039,127.0233685,37.51734176,3327
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 논현로 401,6247,127.0388807,37.49591579,3157
Starbucks,I56220,서울특별시,강남구,도곡2동,서울특별시 강남구 언주로30길 57,6293,127.0541634,37.48929922,3973
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로2길 27,6241,127.0296792,37.49648032,4050
Starbucks,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 테헤란로64길 18,6192,127.0511761,37.50376427,4719
Starbucks,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 남부순환로 2909,6280,127.0573953,37.4921724,4965
Starbucks,I56220,서울특별시,강남구,역삼2동,서울특별시 강남구 역삼로 310,6217,127.0484061,37.49922769,4597
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 203,6141,127.0377338,37.50157409,4509
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성로 518,6168,127.056219,37.50836401,3532
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 308,6253,127.0318013,37.49065888,4666
Starbucks,I56220,서울특별시,강남구,일원본동,서울특별시 강남구 일원로 81,6351,127.0895788,37.49033434,3069
Starbucks,I56220,서울특별시,강남구,삼성2동,서울특별시 강남구 테헤란로 443,6158,127.0555809,37.50694425,4376
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 논현로 752,6047,127.0286278,37.5191512,4813
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로96길 8,6173,127.063193,37.51056404,4215
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로 513,6164,127.0591391,37.51182033,3342
Starbucks,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 선릉로64길 18,6206,127.0537151,37.49794579,3683
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 408,6134,127.0275177,37.49921076,4751
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성로 646,6084,127.051147,37.51767632,4271
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 논현로 648,6106,127.032255,37.5115851,3813
