brand,sic,city,gu,dong,address,zip,lon,lat,col
스타벅스,I56220,서울특별시,용산구,이태원1동,서울특별시 용산구 이태원로 188,4406,126.9947813,37.53430294,1
스타벅스,I56220,서울특별시,서초구,잠원동,서울특별시 서초구 강남대로 581,6530,127.0197628,37.51366263,1
스타벅스,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로103길 9,6173,127.0638782,37.51003785,1
스타벅스,I56220,서울특별시,관악구,서원동,서울특별시 관악구 신림로 330,8777,126.9302159,37.48384475,1
스타벅스,I56220,서울특별시,강동구,천호2동,서울특별시 강동구 천호대로157길 19,5329,127.1270214,37.53878758,1
스타벅스,I56220,서울특별시,강남구,논현1동,서울특별시 강남구 도산대로 108,6038,127.0206347,37.5161838,1
스타벅스,I56220,서울특별시,영등포구,문래동,서울특별시 영등포구 당산로 34,7297,126.8964787,37.51744978,1
스타벅스,I56220,서울특별시,마포구,대흥동,서울특별시 마포구 백범로 23,4108,126.9375433,37.55242638,1
스타벅스,I56220,서울특별시,강서구,화곡1동,서울특별시 강서구 강서로13길 3,7774,126.846036,37.53228534,1
스타벅스,I56220,서울특별시,종로구,종로1.2.3.4가동,서울특별시 종로구 청계천로 41,3188,126.9821598,37.56965992,1
스타벅스,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로 513,6164,127.0571003,37.5129394,1
스타벅스,I56220,서울특별시,영등포구,여의동,서울특별시 영등포구 은행로 11,7237,126.9202192,37.52790507,1
스타벅스,I56220,서울특별시,동작구,신대방2동,서울특별시 동작구 보라매로5길 43,7071,126.9233568,37.49142334,1
스타벅스,I56220,서울특별시,성북구,월곡2동,서울특별시 성북구 화랑로 76,2799,127.0404418,37.60181969,1
스타벅스,I56220,서울특별시,서초구,서초4동,서울특별시 서초구 강남대로 399,6615,127.0268289,37.49825898,1
스타벅스,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 도곡로 408,6278,127.0552134,37.4966152,1
스타벅스,I56220,서울특별시,중구,소공동,서울특별시 중구 통일로 92,4517,126.9692029,37.5635826,1
스타벅스,I56220,서울특별시,서대문구,신촌동,서울특별시 서대문구 신촌로 121,3780,126.939278,37.55619932,1
스타벅스,I56220,서울특별시,서초구,서초1동,서울특별시 서초구 남부순환로339길 64,6722,127.0215728,37.48591615,1
